Classifier,Accuracy
Logistic Regression,0.9732117412368196
Random Forest,0.9732117412368196
Decision Tree,0.9431461954972927
SVM,0.9732117412368196
KNN,0.9716443431176973
Naive Bayes,0.6805357651752636
