date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,et0_fao_evapotranspiration,wind_speed_100m,wind_direction_100m,time
2020-04-06,43.4003,92.35028,41.3303,39.67263,0.0,0.0,4.3203645,158.74942,10:00:00
2020-04-07,37.7303,88.925735,34.7603,33.00976,0.0,0.0,4.787389,142.59457,10:00:00
2020-04-14,54.020298,67.23264,43.4003,51.154842,0.0,0.00021182,3.8616607,190.00792,09:00:00
2020-04-14,53.750298,61.62364,40.8803,50.67853,0.0,9.11e-05,4.474,270.0,11:00:00
2020-04-15,51.860302,64.233444,40.1603,46.754265,0.0,0.001209999,7.024322,142.76509,09:00:00
2020-04-15,51.590298,61.33756,38.7203,46.126827,0.0,0.001387986,8.385021,136.08084,10:00:00
2020-04-16,52.0403,88.97291,48.890297,51.286278,0.0,0.0,2.916691,85.60138,10:00:00
2020-04-19,53.0303,75.69058,45.5603,51.33002,0.0,0.0,2.1222045,71.564964,09:00:00
2020-04-22,49.520298,87.35827,45.9203,46.667294,0.0,0.0,2.7670162,165.96373,10:00:00
2020-04-23,56.090298,96.47295,55.1003,57.16825,0.0,0.0,1.360714,350.53775,10:00:00
2020-04-24,57.4403,67.4023,46.7303,55.507137,0.0,0.000146362,4.8186455,248.19853,09:00:00
2020-04-24,54.6503,71.58291,45.6503,52.10565,0.0,0.000218753,6.7444715,275.7105,11:00:00
2020-04-25,58.7003,69.160736,48.6203,56.771297,0.0,0.000443627,3.8094738,176.6336,09:00:00
2020-04-25,57.0803,68.51381,46.820297,54.43246,0.0,0.000598473,1.5006253,153.43501,11:00:00
2020-04-26,57.9803,81.6481,52.4003,58.170776,0.0,0.0,1.9243401,125.537766,10:00:00
2020-04-27,56.4503,48.887634,37.4603,53.36656,0.0,0.0,0.9223387,284.03625,10:00:00
2020-04-28,56.1803,88.28027,52.7603,56.365658,0.0,0.0,1.414803,198.43504,10:00:00
2020-04-30,55.4603,85.93244,51.320297,55.496655,0.0,0.0,0.2237,360.0,09:00:00
2020-05-01,53.1203,53.45496,36.6503,49.036995,0.0,0.000444615,4.0821414,350.53775,10:00:00
2020-05-01,76.0703,21.4726,33.8603,70.22902,0.0,0.026332127,15.698895,327.21573,22:00:00
2020-05-02,56.810303,85.72485,52.5803,55.563385,0.003937008,0.0,6.2154794,329.74365,10:00:00
2020-05-03,57.4403,70.67253,47.9903,54.508675,0.0,0.000840729,8.8580675,315.0001,10:00:00
2020-05-04,50.1503,64.69661,38.7203,46.17351,0.0,0.000330558,3.0095758,138.01286,10:00:00
2020-05-05,56.810303,51.236343,38.9903,53.64219,0.0,2.47e-05,0.50020844,243.43501,09:00:00
2020-05-07,58.340298,45.834717,37.5503,54.057373,0.0,0.001136663,7.651717,232.12495,10:00:00
2020-05-08,59.8703,47.885952,40.0703,56.379543,0.0,0.000757794,5.3172884,165.37909,10:00:00
2020-05-09,58.0703,68.6257,47.810303,56.62496,0.0,0.0,2.3779638,48.814175,10:00:00
2020-05-13,52.2203,87.79275,48.7103,50.78329,0.0,0.0,2.6937048,131.63345,10:00:00
2020-05-14,53.390297,90.2313,50.6003,52.721535,0.0,0.0,1.9112936,69.44387,10:00:00
2020-05-19,51.320297,89.843765,48.4403,49.85932,0.0,0.0,0.9223387,104.03627,10:00:00
2020-05-21,51.770298,93.86611,50.060303,50.531708,0.0,0.0,3.0012505,116.56499,09:00:00
2020-05-23,53.750298,74.47883,45.8303,51.3148,0.0,8.45e-05,3.11578,158.96242,10:00:00
2020-05-24,57.2603,52.945812,40.250298,53.303635,0.0,0.00106012,5.2223296,136.73567,10:00:00
2020-05-25,68.1503,34.73098,39.2603,64.91906,0.0,0.000601475,3.2028964,155.22488,10:00:00
