Classifier,Accuracy
Logistic Regression,0.9707893986890852
Random Forest,0.9707893986890852
Decision Tree,0.9424337418067825
SVM,0.9707893986890852
KNN,0.969649472784269
Naive Bayes,0.4962952408093474
