Classifier,Accuracy
Logistic Regression,0.9727803904802622
Random Forest,0.9727803904802622
Decision Tree,0.9442781815590708
SVM,0.9727803904802622
KNN,0.9719253242126265
Naive Bayes,0.7889411429385778
