date,time,Severity,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,forest_fire
1/4/20,10:00:00,0,6.160999775,87.93583679,0,938.9438477,30.90000153,5.05284071,5.611000061,8.261000633,0.351000011,0.360000014,N
1/4/20,12:00:00,0,4.611000061,95.88623047,0,938.3864136,37.20000076,10.13769245,5.511000156,7.660999775,0.351000011,0.360000014,N
1/4/20,14:00:00,0,4.210999966,100,0,939.5443726,100,6.034699917,5.011000156,7.410999775,0.351000011,0.360000014,N
1/4/20,16:00:00,0,5.960999966,98.28591919,0.100000001,941.1692505,100,1.484318018,5.761000156,7.210999966,0.351999998,0.360000014,N
1/4/20,18:00:00,0,9.161000252,85.82214355,0,942.4855347,34.20000076,4.735060215,7.261000156,7.210999966,0.351999998,0.360000014,N
1/4/20,20:00:00,0,13.21100044,67.438591,0,941.9194946,65.09999847,1.297998428,10.46100044,7.56099987,0.351000011,0.358999997,N
1/4/20,22:00:00,0,12.51100063,70.59832764,0,941.1694336,28.5,9,11.71100044,8.161000252,0.349999994,0.358999997,N
1/5/20,0:00:00,0,10.46100044,85.37555695,0,941.492981,32.10000229,7.517020702,12.11100006,8.711000443,0.345999986,0.35800001,N
1/5/20,2:00:00,0,7.06099987,98.63861084,0,941.0410767,55.20000076,2.902412653,9.511000633,9.011000633,0.345999986,0.35800001,N
1/5/20,4:00:00,0,6.361000061,100,0,941.3803711,100,3.21993804,8.061000824,8.961000443,0.345999986,0.356999993,N
1/5/20,6:00:00,0,5.261000156,99.30735016,0,941.7809448,88.5,7.145795822,7.111000061,8.811000824,0.345999986,0.356999993,N
1/5/20,8:00:00,0,4.410999775,93.54618835,0,942.2544556,18.89999962,8.209262848,6.460999966,8.561000824,0.345999986,0.356999993,N
1/5/20,10:00:00,0,3.760999918,95.85839081,0,942.6046143,58.49999619,10.38398743,5.710999966,8.261000633,0.345999986,0.356999993,N
1/5/20,12:00:00,0,3.81099987,98.25618744,0,942.7112427,67.5,6.989935875,5.111000061,8.011000633,0.347000003,0.356999993,N
1/5/20,14:00:00,0,2.760999918,79.75340271,0,942.9373779,1.799999952,6.952754498,4.81099987,7.710999966,0.347000003,0.356999993,N
1/5/20,16:00:00,0,3.960999966,77.09617615,0,944.3098755,0,10.23945332,4.361000061,7.31099987,0.347000003,0.356000006,N
1/5/20,18:00:00,0,9.611000061,50.26732254,0,946.4613037,0,12.09621429,6.761000156,7.160999775,0.345999986,0.356000006,N
1/5/20,20:00:00,0,10.46100044,49.06486511,0,946.3446655,0,16.13587189,9.261000633,7.410999775,0.344999999,0.354999989,N
1/5/20,22:00:00,0,10.26100063,48.4780426,0,945.9199219,0,15.34968376,10.31100082,7.861000061,0.342999995,0.354999989,N
1/6/20,0:00:00,0,9.961000443,51.65656662,0,945.2828979,0,8.587338448,11.21100044,8.511000633,0.342000008,0.354000002,N
1/6/20,2:00:00,0,5.81099987,74.68202209,0,944.4145508,0,10.02843857,8.611000061,8.711000443,0.342000008,0.354000002,N
1/6/20,4:00:00,0,5.06099987,81.24000549,0,944.1879883,0,10.82995892,7.011000156,8.611000061,0.342000008,0.354000002,N
1/6/20,6:00:00,0,5.111000061,80.66983032,0,944.2944946,0,10.93120289,6.31099987,8.361000061,0.342000008,0.352999985,N
1/6/20,8:00:00,0,4.960999966,70.8557663,0,943.5178833,0,14.00302887,5.960999966,8.111000061,0.342000008,0.352999985,N
1/6/20,10:00:00,0,5.31099987,60.41511917,0,943.2581787,0,14.05844975,5.761000156,7.861000061,0.342000008,0.352999985,N
1/6/20,12:00:00,0,2.611000061,72.75789642,0,943.3476563,0,8.854828835,3.861000061,7.710999966,0.345999986,0.354000002,N
1/6/20,14:00:00,0,2.760999918,66.36480713,0,943.2113647,0,5.804825306,3.411000013,7.210999966,0.345999986,0.354000002,N
1/6/20,16:00:00,0,3.81099987,56.13228989,0,943.0766602,0,9.36000061,3.460999966,6.761000156,0.345999986,0.354000002,N
1/6/20,18:00:00,0,11.46100044,42.074646,0,944.5300293,0,9.983105659,6.460999966,6.660999775,0.344999999,0.354000002,N
1/6/20,20:00:00,0,13.41100025,38.95842361,0,943.3508301,0,10.02843857,9.711000443,7.011000156,0.342999995,0.352999985,N
1/6/20,22:00:00,0,13.96100044,39.6900177,0,942.5912476,0,7.754636765,11.46100044,7.611000061,0.340999991,0.351999998,N
1/7/20,0:00:00,0,12.66100025,45.10886765,0,942.1282959,0,4.51078701,12.31100082,8.311000824,0.333999991,0.34799999,N
1/7/20,2:00:00,0,7.210999966,65.43772125,0,940.0795898,0,5.634891033,9.161000252,8.661000252,0.335000008,0.34799999,N
1/7/20,4:00:00,0,5.660999775,60.05968475,0,938.9768066,0,7.903619289,7.361000061,8.611000061,0.335000008,0.347000003,N
1/7/20,6:00:00,0,4.56099987,60.90005875,0,938.0055542,0,7.412853241,6.31099987,8.411000252,0.335000008,0.347000003,N
1/7/20,8:00:00,0,3.81099987,62.77701569,0,936.682251,0,6.763785839,5.56099987,8.111000061,0.335000008,0.347000003,N
1/7/20,11:00:00,0,4.81099987,54.7412262,0,935.8881836,0,5.001279831,4.960999966,7.660999775,0.335000008,0.347000003,N
1/7/20,12:00:00,0,4.511000156,58.23814011,0,935.6151123,17.70000076,5.116561413,2.56099987,7.261000156,0.338,0.34799999,N
1/7/20,14:00:00,0,3.760999918,61.61102676,0,934.9314575,24,6.130578518,3.010999918,6.761000156,0.338,0.34799999,N
1/7/20,16:00:00,0,5.06099987,62.61421967,0,934.5926514,25.50000191,4.198285103,3.411000013,6.410999775,0.338,0.34799999,N
1/7/20,18:00:00,0,13.26100063,46.26218414,0,936.4364014,28.80000114,1.835646987,6.710999966,6.361000061,0.337000012,0.34799999,N
1/7/20,20:00:00,0,14.86100006,38.54340744,0,935.0548096,28.20000076,9.085988045,10.01100063,6.761000156,0.335999995,0.347000003,N
1/7/20,22:00:00,0,13.81100082,41.10306549,0,933.5684814,26.10000038,9.007196426,11.26100063,7.410999775,0.333999991,0.345999986,N
1/8/20,0:00:00,0,10.91100025,53.99998093,0,933.1092529,0,7.091177464,11.06100082,8.011000633,0.333000004,0.345999986,N
1/8/20,2:00:00,0,4.910999775,73.19030762,0,931.6234741,1.799999952,11.52562332,8.311000824,8.311000824,0.333000004,0.345999986,N
1/8/20,4:00:00,0,4.81099987,98.27010345,0,933.2382813,32.39999771,14.34589767,7.06099987,8.211000443,0.333999991,0.345999986,N
1/8/20,6:00:00,0,4.660999775,96.56263733,0,933.1016846,32.70000076,15.14141369,6.460999966,8.061000824,0.333999991,0.345999986,N
1/8/20,8:00:00,0,5.56099987,96.92366791,0,932.822998,99.30000305,13.55628204,6.361000061,7.910999775,0.333999991,0.345999986,N
1/8/20,10:00:00,0,5.06099987,99.65257263,0,932.7649536,90,11.44097805,6.261000156,7.761000156,0.333999991,0.344999999,N
1/8/20,12:00:00,0,3.911000013,97.22505951,0,932.3275757,15.29999924,5.315336227,6.611000061,7.56099987,0.338,0.34799999,N
1/8/20,14:00:00,0,2.81099987,95.14665222,0,932.0859375,5.399999619,5.81597805,5.210999966,7.410999775,0.338,0.347000003,N
1/8/20,16:00:00,0,3.611000061,93.83783722,0,933.059021,21.59999847,5.351784706,4.611000061,7.111000061,0.338,0.347000003,N
1/8/20,18:00:00,0,7.210999966,77.89304352,0,934.0440674,79.5,11.75387669,6.410999775,7.011000156,0.338,0.347000003,N
1/8/20,20:00:00,0,8.561000824,72.31830597,0,933.3433228,70.80000305,12.68201828,8.361000061,7.160999775,0.338,0.347000003,N
1/8/20,22:00:00,0,8.461000443,71.03819275,0,932.5820313,45.30000305,12.86464882,9.211000443,7.511000156,0.337000012,0.345999986,N
1/9/20,0:00:00,0,7.960999966,70.44004822,0,932.2528687,100,8.669948578,9.511000633,7.960999966,0.335999995,0.345999986,N
1/9/20,2:00:00,0,5.660999775,95.58695221,0,932.121582,89.69999695,9.904906273,7.960999966,8.111000061,0.335999995,0.345999986,N
1/9/20,4:00:00,0,4.710999966,93.23284149,0,932.1116943,73.20000458,9.387651443,6.960999966,8.061000824,0.335999995,0.345999986,N
1/9/20,6:00:00,0,4.761000156,94.55503845,0,932.1265259,100,9.178235054,6.460999966,7.910999775,0.335999995,0.344999999,N
1/9/20,8:00:00,0,4.611000061,98.61173248,0,931.350769,100,12.22410679,6.261000156,7.761000156,0.335999995,0.344999999,N
1/9/20,10:00:00,0,3.661000013,99.64862823,0,931.2473755,100,8.557102203,5.81099987,7.611000061,0.337000012,0.344999999,N
1/9/20,12:00:00,0,3.911000013,99.29976654,0.800000012,929.861145,100,6.489992142,6.011000156,7.261000156,0.333999991,0.344000012,N
1/9/20,14:00:00,0,3.81099987,99.99999237,0.899999976,927.9128418,100,10.9489727,5.511000156,7.160999775,0.345999986,0.344000012,N
1/9/20,16:00:00,0,4.160999775,98.26107025,2.299999952,927.9265137,100,9.387651443,5.31099987,7.011000156,0.395000011,0.344999999,N
1/9/20,18:00:00,0,6.06099987,92.65633392,0.100000001,929.223999,82.19999695,12.76858616,6.111000061,6.910999775,0.393000007,0.347000003,N
1/9/20,20:00:00,0,6.761000156,86.16798401,0.100000001,929.7964478,87.29999542,14.38649368,7.210999966,6.960999966,0.388000011,0.34799999,N
1/9/20,22:00:00,0,6.910999775,76.75389862,0,930.3892212,0,21.19418716,8.011000633,7.160999775,0.384000003,0.349000007,N
1/10/20,0:00:00,0,6.261000156,78.29688263,0,932.1171875,7.199999809,15.03835011,8.711000443,7.511000156,0.377000004,0.349000007,N
