latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
37.45574,-121.9309,301.5,0.54,0.42,3/1/20,936,1,VIIRS,n,2.0NRT,278.6,0.7,N
37.45657,-121.93204,296.4,0.32,0.55,3/2/20,918,1,VIIRS,n,2.0NRT,275.8,0.3,N
37.31589,-122.09212,295.6,0.61,0.71,3/3/20,854,1,VIIRS,n,2.0NRT,285.5,0.9,N
37.45596,-121.9294,295,0.62,0.54,3/3/20,1036,1,VIIRS,n,2.0NRT,279.9,0.4,N
37.31678,-122.09029,298,0.61,0.54,3/3/20,1036,1,VIIRS,n,2.0NRT,285.3,1,N
37.45382,-121.9313,297.7,0.54,0.42,3/4/20,1018,1,VIIRS,n,2.0NRT,276.3,0.6,N
37.31761,-122.09212,296.3,0.53,0.42,3/4/20,1018,1,VIIRS,n,2.0NRT,280.5,0.7,N
37.31672,-122.09161,302.7,0.39,0.36,3/5/20,1000,1,VIIRS,n,2.0NRT,284.4,0.8,N
37.21379,-121.90064,296.5,0.39,0.36,3/5/20,1000,1,VIIRS,n,2.0NRT,280.6,0.4,N
37.18389,-121.6785,300.6,0.39,0.36,3/5/20,1000,1,VIIRS,n,2.0NRT,281.6,0.6,N
37.45472,-121.93173,308,0.39,0.36,3/5/20,1000,1,VIIRS,n,2.0NRT,282.4,0.8,N
37.45476,-121.93102,306.2,0.41,0.37,3/10/20,1006,1,VIIRS,n,2.0NRT,278.1,0.8,N
37.31621,-122.09004,300.2,0.41,0.37,3/10/20,1006,1,VIIRS,n,2.0NRT,282.4,1,N
37.18353,-121.68085,295.1,0.42,0.45,3/12/20,930,1,VIIRS,n,2.0NRT,279.8,0.6,N
37.45541,-121.93042,298.1,0.43,0.46,3/12/20,930,1,VIIRS,n,2.0NRT,281.1,0.4,N
37.45346,-121.93002,300.4,0.54,0.42,3/20/20,1018,1,VIIRS,n,2.0NRT,277.5,0.7,N
37.45642,-121.93438,295.3,0.53,0.42,3/20/20,1018,1,VIIRS,n,2.0NRT,278,0.4,N
37.31519,-122.08923,295.8,0.53,0.42,3/20/20,1018,1,VIIRS,n,2.0NRT,278.6,0.6,N
37.31781,-122.08877,300,0.39,0.36,3/21/20,1000,1,VIIRS,n,2.0NRT,280.7,0.8,N
37.45649,-121.93365,305.9,0.47,0.39,3/22/20,942,1,VIIRS,n,2.0NRT,279.1,0.7,N
37.45345,-121.93079,295.8,0.53,0.5,3/23/20,924,1,VIIRS,n,2.0NRT,279.3,0.7,N
37.45367,-121.93334,296.1,0.41,0.37,3/26/20,1006,1,VIIRS,n,2.0NRT,274.6,0.8,N
37.18482,-121.68109,304.3,0.42,0.38,3/26/20,1006,1,VIIRS,n,2.0NRT,276.4,0.5,N
37.18346,-121.67838,299.9,0.41,0.37,3/27/20,948,1,VIIRS,n,2.0NRT,276.2,0.6,N
37.31745,-122.09168,298.8,0.42,0.37,3/27/20,948,1,VIIRS,n,2.0NRT,280.1,0.7,N
37.45448,-121.92999,301,0.46,0.39,3/31/20,1012,1,VIIRS,n,2.0NRT,281.2,0.5,N
37.45658,-121.93165,300.1,0.46,0.39,3/31/20,1012,1,VIIRS,n,2.0NRT,280.7,0.6,N
37.3168,-122.08923,300.4,0.46,0.39,3/31/20,1012,1,VIIRS,n,2.0NRT,281.5,1,N
37.00097,-121.50642,340.6,0.43,0.38,4/1/20,2112,1,VIIRS,n,2.0NRT,300.5,2.3,D
37.45388,-121.93098,299.3,0.54,0.42,4/2/20,936,1,VIIRS,n,2.0NRT,277.5,1.3,N
37.18367,-121.67715,295.1,0.52,0.42,4/2/20,936,1,VIIRS,n,2.0NRT,277.5,0.5,N
37.45353,-121.93215,298.1,0.32,0.55,4/3/20,918,1,VIIRS,n,2.0NRT,279.6,0.4,N
37.45554,-121.93388,299.2,0.39,0.36,4/6/20,1000,1,VIIRS,n,2.0NRT,275.1,0.4,N
37.45529,-121.93343,304.7,0.46,0.39,4/7/20,942,1,VIIRS,n,2.0NRT,276.6,0.7,N
37.31836,-122.08902,296.1,0.47,0.4,4/7/20,942,1,VIIRS,n,2.0NRT,277.7,0.7,N
37.18567,-121.67819,295.8,0.45,0.39,4/7/20,942,1,VIIRS,n,2.0NRT,276.1,0.6,N
37.45573,-121.93336,300.5,0.39,0.6,4/14/20,912,1,VIIRS,n,2.0NRT,279.7,0.3,N
37.45539,-121.93116,296.7,0.46,0.64,4/14/20,1048,1,VIIRS,n,2.0NRT,280,0.8,N
37.3162,-122.09164,295.1,0.74,0.76,4/15/20,848,1,VIIRS,n,2.0NRT,283.7,0.9,N
37.45698,-121.93311,299.2,0.52,0.5,4/15/20,1030,1,VIIRS,n,2.0NRT,280.7,0.8,N
37.45424,-121.93417,295.4,0.46,0.39,4/16/20,1012,1,VIIRS,n,2.0NRT,271.8,0.9,N
37.45747,-121.93279,302.5,0.32,0.55,4/19/20,918,1,VIIRS,n,2.0NRT,280.9,0.3,N
37.45549,-121.93322,308.5,0.39,0.36,4/22/20,1000,1,VIIRS,n,2.0NRT,282,0.9,N
37.31712,-122.09058,305.6,0.39,0.36,4/22/20,1000,1,VIIRS,n,2.0NRT,284.5,1,N
37.18436,-121.67911,306.5,0.39,0.36,4/22/20,1000,1,VIIRS,n,2.0NRT,281.9,0.7,N
37.45619,-121.93151,306.8,0.46,0.39,4/23/20,942,1,VIIRS,n,2.0NRT,284.9,0.7,N
37.18505,-121.67783,298.2,0.45,0.39,4/23/20,942,1,VIIRS,n,2.0NRT,284.6,0.6,N
