Classifier,Accuracy
Logistic Regression,0.9744868871151653
Random Forest,0.9744868871151653
Decision Tree,0.9407069555302167
SVM,0.9744868871151653
KNN,0.9733466362599772
Naive Bayes,0.7676738882554162
