datetime,date,time,Severity,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,forest_fire
1/5/20 6:00,1/5/20,6:00:00,0,5.261000156,99.30735016,0,941.7809448,88.5,7.145795822,7.111000061,8.811000824,0.345999986,0.356999993,N
1/5/20 9:00,1/5/20,9:00:00,0,3.861000061,94.18260193,0,941.8131104,32.70000076,6.297428131,6.06099987,8.411000252,0.345999986,0.356999993,N
1/5/20 12:00,1/5/20,12:00:00,0,3.81099987,98.25618744,0,942.7112427,67.5,6.989935875,5.111000061,8.011000633,0.347000003,0.356999993,N
1/5/20 15:00,1/5/20,15:00:00,0,2.411000013,73.25769043,0,943.1947632,2.699999809,7.928177834,4.410999775,7.511000156,0.347000003,0.356000006,N
1/5/20 18:00,1/5/20,18:00:00,0,9.611000061,50.26732254,0,946.4613037,0,12.09621429,6.761000156,7.160999775,0.345999986,0.356000006,N
1/5/20 21:00,1/5/20,21:00:00,0,10.31100082,51.19615555,0,946.3008423,0,16.36317825,9.961000443,7.611000061,0.344000012,0.354999989,N
1/6/20 0:00,1/6/20,0:00:00,0,9.961000443,51.65656662,0,945.2828979,0,8.587338448,11.21100044,8.511000633,0.342000008,0.354000002,N
1/6/20 3:00,1/6/20,3:00:00,0,5.261000156,80.40400696,0,944.0657349,0,10.04135418,7.660999775,8.661000252,0.342000008,0.354000002,N
1/6/20 6:00,1/6/20,6:00:00,0,5.111000061,80.66983032,0,944.2944946,0,10.93120289,6.31099987,8.361000061,0.342000008,0.352999985,N
1/6/20 9:00,1/6/20,9:00:00,0,5.261000156,62.43281174,0,942.7862549,0,15.32856083,5.81099987,7.960999966,0.342000008,0.352999985,N
1/6/20 12:00,1/6/20,12:00:00,0,2.611000061,72.75789642,0,943.3476563,0,8.854828835,3.861000061,7.710999966,0.345999986,0.354000002,N
